"scenario","year","gainMean","relVarMean","accCET","accPYT","accAYT","accUYT"
"Broad adaptation",0,0,1,0,0,0,0
"Broad adaptation",1,0.551889231914157,0.851530497141594,0.273045346606387,0.0614473621370096,0.434046590299516,0.314626647607514
"Broad adaptation",2,0.516946488432464,0.942382827835821,0.289817026662405,0.249785812825431,0.351949561040527,0.358317883517918
"Broad adaptation",3,0.807370267945865,0.866334077195937,0.284294018124745,0.314932139970793,0.325050559112566,0.299812190337422
"Broad adaptation",4,1.09633509886543,0.86333562630794,0.23483427396968,0.141290869371186,0.249912895592584,0.426071758825323
"Broad adaptation",5,1.00020561323277,0.826681284480703,0.190639191067552,0.24636255705159,0.15347323075788,0.188813612036014
"Broad adaptation",6,1.32439434702778,0.993194637076199,0.167688841242619,0.351082643589419,0.1039331961333,0.367781785463061
"Broad adaptation",7,1.22337715954045,0.868884928081817,0.27533981777157,0.241884594886922,0.156673978625597,0.4047691969779
"Broad adaptation",8,1.67758076996639,0.925326768665214,0.240796053081349,0.242047894388918,0.072712673058424,0.308889594409581
"Broad adaptation",9,1.50190142140307,0.808260385463194,0.201529946142764,0.23106033902643,0.181288583231963,0.0720565960198178
"Broad adaptation",10,1.92803518654224,0.949048620019956,0.218749590210803,0.194125899296811,0.139122723103745,0.248414656786949
"Conv",0,0,1,0,0,0,0
"Conv",1,0.0877801723801817,0.911672759889149,0.145611839588267,0.234776903021943,0.397703003148207,0.632148641917925
"Conv",2,0.265549713754408,0.929527362659221,0.128393106362483,0.263548577979404,0.434172669032823,0.664929241935128
"Conv",3,0.579078180138493,0.839900499800905,0.127756181298785,0.26846469953391,0.478872955972978,0.72480755397177
"Conv",4,0.621303561337399,0.889551502169501,0.09073302380823,0.139405307373375,0.350687552805694,0.647415737537971
"Conv",5,0.605791909064626,0.917250592792448,0.0985483357059886,0.201142128096445,0.460107050126822,0.646113616849341
"Conv",6,0.755573770298044,0.835525770450113,0.101778572399023,0.249012350224251,0.477195940561685,0.712824978544457
"Conv",7,1.05548512050506,0.954124790132553,0.109814217283666,0.206898664218807,0.405962846494896,0.654952678311985
"Conv",8,1.07577837981916,0.964965714139933,0.108379161409096,0.169852682019327,0.456105533955857,0.707033112030616
"Conv",9,1.13131145962217,0.872307462720229,0.119395946775773,0.181626368072931,0.459659908269492,0.644045549218115
"Conv",10,1.33686614807954,0.857611217640114,0.119495393060647,0.241442152959942,0.392658751087589,0.654521691735078
"Narrow adaptation",0,0,1,0,0,0,0
"Narrow adaptation",1,0.345088368839637,0.904598043231507,0.239993680217151,0.178578736299731,0.267997116178022,0.295303926047352
"Narrow adaptation",2,0.446564724756854,0.982396375664387,0.23271024439057,0.19801750307481,0.30471675333673,0.233688539379832
"Narrow adaptation",3,0.743684619839633,0.852943651318965,0.175198284901799,0.176769835263959,0.206447875020651,0.219860224808481
"Narrow adaptation",4,0.65020767657759,0.972582872473978,0.207248345072837,0.224078812642868,0.277632423882056,0.297345373671345
"Narrow adaptation",5,0.893438625051119,0.98862475514689,0.173401126140379,0.175049280580234,0.22426799551149,0.268111954705628
"Narrow adaptation",6,0.714363062550581,0.94257476673228,0.141526861701632,0.269092306174397,0.177146869688979,0.2715794125293
"Narrow adaptation",7,0.926492000582686,1.00492716827697,0.234161316175912,0.217784721486787,0.157752950864917,0.348434823703756
"Narrow adaptation",8,0.902134859374631,0.952502172259051,0.208312591919723,0.238097335499181,0.210249929366882,0.310336163404296
"Narrow adaptation",9,1.04941546415874,0.916135812337809,0.263366159134144,0.236659908780292,0.190760267337995,0.371126623706485
"Narrow adaptation",10,1.17551998135693,0.714571927158944,0.212637389639355,0.16920394414267,0.193345535022339,0.378486723886237
